Customer ID,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data
2017-CCBLH,Yes,23.46,No,No,,0,,,,,,,,
2018-PZKMU,Yes,44.37,No,Yes,Fiber Optic,57,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2018-QKYGT,Yes,36.32,No,Yes,Fiber Optic,85,No,No,No,No,No,Yes,Yes,Yes
2019-HDCZY,Yes,2.72,Yes,Yes,Fiber Optic,22,No,No,Yes,No,Yes,Yes,Yes,Yes
2023-VQFDL,Yes,33.16,No,No,,0,,,,,,,,
2024-BASKD,Yes,22.16,No,Yes,Fiber Optic,47,No,No,Yes,No,No,No,No,No
2025-JKFWI,Yes,24.14,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes
2026-TGDHM,Yes,19.21,No,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,No
2027-CWDNU,Yes,28.04,No,Yes,Fiber Optic,28,No,No,No,Yes,No,Yes,Yes,Yes
2027-DNKIV,Yes,35.67,No,Yes,DSL,76,Yes,No,Yes,Yes,No,No,No,Yes
2027-FECZV,Yes,25.19,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2027-OAQQC,No,1,,Yes,DSL,12,No,No,Yes,No,Yes,Yes,Yes,Yes
2027-WKXMW,Yes,20.37,Yes,Yes,Fiber Optic,26,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2030-BTZRO,Yes,41.36,No,No,,0,,,,,,,,
2034-CGRHZ,Yes,3.23,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,No,Yes
2034-GDRCN,Yes,10.53,No,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes
2037-SGXHH,Yes,49.7,Yes,Yes,Fiber Optic,30,No,Yes,Yes,No,Yes,No,No,Yes
2037-XJFUP,Yes,41.8,No,Yes,Fiber Optic,41,No,No,Yes,No,Yes,Yes,Yes,No
2038-LLMLM,Yes,10.5,Yes,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2038-OEQZH,Yes,44.36,No,Yes,Fiber Optic,20,No,No,Yes,No,No,Yes,Yes,Yes
2038-YSEZE,Yes,13.74,Yes,Yes,DSL,2,Yes,Yes,No,Yes,No,No,No,Yes
2039-JONDJ,Yes,20.29,No,Yes,DSL,21,Yes,Yes,No,No,No,No,No,Yes
2040-LDIWQ,Yes,41.57,Yes,Yes,DSL,16,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2040-OBMLJ,Yes,17.18,Yes,Yes,Fiber Optic,76,No,No,No,Yes,No,No,No,Yes
2040-VZIKE,Yes,44.81,Yes,Yes,Fiber Optic,10,Yes,No,No,No,Yes,Yes,Yes,Yes
2040-XBAVJ,Yes,24.95,Yes,Yes,Fiber Optic,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2041-JIJCI,Yes,44.78,Yes,Yes,Cable,29,No,Yes,No,No,No,Yes,Yes,Yes
2043-WVTQJ,Yes,17.68,No,Yes,Cable,9,Yes,No,Yes,No,No,No,No,Yes
2045-BMBTJ,No,1,,Yes,DSL,16,Yes,Yes,Yes,No,Yes,Yes,No,Yes
2049-BAFNW,No,1,,Yes,DSL,7,No,No,Yes,Yes,No,No,No,Yes
2050-ONYDQ,Yes,2.95,Yes,No,,0,,,,,,,,
2054-PJOCK,Yes,16.11,Yes,Yes,Cable,18,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2055-BFOCC,Yes,40.65,No,Yes,DSL,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2055-PDADH,Yes,2.26,No,Yes,Fiber Optic,3,No,No,No,No,No,No,No,Yes
2055-SIFSS,Yes,29.53,Yes,Yes,Cable,29,No,No,No,No,No,No,No,Yes
2056-EVGZL,Yes,8.88,No,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2057-BOYKM,Yes,28.09,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,No,No,No,Yes
2057-ZBLPD,Yes,42.22,Yes,Yes,Fiber Optic,29,No,No,No,No,No,Yes,Yes,Yes
2058-DCJBE,Yes,31.14,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes
2061-VVFST,Yes,45.19,No,No,,0,,,,,,,,
2065-MMKGR,Yes,41.38,Yes,Yes,DSL,4,No,No,No,No,Yes,Yes,Yes,Yes
2067-QYTCF,Yes,8.6,Yes,Yes,Fiber Optic,21,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2068-WWXQZ,Yes,30.25,No,No,,0,,,,,,,,
2070-FNEXE,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No
2070-XYMFH,Yes,8.72,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,Yes
2072-ZVJJX,Yes,22.83,Yes,No,,0,,,,,,,,
2073-QBVBI,No,1,,Yes,Cable,17,No,Yes,No,Yes,No,No,No,Yes
2074-GKOWZ,Yes,8.86,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes
2074-GUHPQ,Yes,49.78,Yes,Yes,Fiber Optic,19,No,Yes,Yes,Yes,No,No,No,Yes
2075-PUEPR,Yes,24.7,No,No,,0,,,,,,,,
2075-RMJIK,Yes,47.06,No,Yes,Cable,52,Yes,No,No,No,No,No,No,No
2077-DDHJK,Yes,27.41,Yes,Yes,DSL,9,Yes,Yes,Yes,Yes,No,No,No,Yes
2077-MPJQO,Yes,21.37,Yes,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes
2079-FBMZK,Yes,39.36,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes
2080-CAZNM,Yes,6.33,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,No,Yes
2080-GKCWQ,Yes,3.76,No,Yes,Fiber Optic,16,No,Yes,No,No,No,No,No,Yes
2080-SRCDE,Yes,32.73,Yes,No,,0,,,,,,,,
2081-KJSQF,Yes,42.96,No,No,,0,,,,,,,,
2081-VEYEH,Yes,12.66,No,Yes,Fiber Optic,28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2082-CEFLT,Yes,11.73,No,Yes,DSL,24,No,No,No,No,No,No,No,Yes
2082-OJVTK,Yes,4,Yes,Yes,Fiber Optic,48,No,No,Yes,No,No,Yes,Yes,Yes
2085-BOJKI,Yes,28.83,No,Yes,Fiber Optic,5,No,No,Yes,No,Yes,Yes,Yes,Yes
2085-JVGAD,Yes,2.15,No,No,,0,,,,,,,,
2087-QAREY,Yes,39.83,No,Yes,Cable,16,No,Yes,Yes,No,No,No,No,Yes
2088-IEBAU,Yes,21.82,Yes,Yes,DSL,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2091-GPPIQ,Yes,26.04,Yes,Yes,Cable,6,No,Yes,No,Yes,Yes,Yes,Yes,Yes
2091-MJTFX,No,1,,Yes,DSL,12,No,No,No,Yes,Yes,Yes,Yes,Yes
2091-RFFBA,Yes,15.43,Yes,Yes,Fiber Optic,2,No,No,No,No,No,No,No,Yes
2096-XOTMO,Yes,12.82,No,No,,0,,,,,,,,
2097-YVPKN,Yes,4.9,Yes,No,,0,,,,,,,,
2100-BDNSN,Yes,14.9,Yes,Yes,DSL,4,No,No,Yes,Yes,Yes,No,No,No
2101-RANCD,Yes,8.93,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,No,Yes
2103-ZRXFN,Yes,24.66,Yes,Yes,DSL,26,No,No,No,No,No,No,No,Yes
2105-PHWON,Yes,10.34,Yes,Yes,Fiber Optic,22,No,No,Yes,Yes,No,Yes,Yes,No
2107-FBPTK,Yes,41.93,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,No,Yes
2108-GLPQB,Yes,11.6,Yes,Yes,DSL,10,No,No,Yes,No,No,No,No,Yes
2108-XWMPY,No,1,,Yes,DSL,85,Yes,Yes,No,No,No,No,No,Yes
2108-YKQTY,Yes,9.81,No,Yes,DSL,30,No,Yes,No,No,No,No,No,Yes
2111-DWYHN,Yes,18.81,No,No,,0,,,,,,,,
2114-MGINA,Yes,10.3,No,Yes,Fiber Optic,29,No,No,No,No,Yes,Yes,Yes,Yes
2115-BFTIW,Yes,24.91,No,Yes,Fiber Optic,18,No,No,No,No,No,No,No,No
2120-SMPEX,Yes,17.64,No,No,,0,,,,,,,,
2121-JAFOM,Yes,1.67,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2122-SZZZD,Yes,18.14,No,No,,0,,,,,,,,
2122-YWVYA,Yes,15.01,No,Yes,Fiber Optic,22,Yes,No,No,No,No,No,No,Yes
2123-AGEEN,Yes,26.29,No,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No
2123-VSCOT,Yes,24.81,Yes,Yes,Cable,24,No,No,Yes,Yes,Yes,No,No,Yes
2126-GSEGL,Yes,9.28,Yes,Yes,DSL,24,No,Yes,Yes,Yes,Yes,Yes,Yes,No
2129-ALKBS,Yes,49.22,Yes,No,,0,,,,,,,,
2133-TSRRM,Yes,32.94,No,Yes,Fiber Optic,21,Yes,Yes,Yes,No,Yes,Yes,Yes,No
2135-DQWAQ,Yes,45.74,No,Yes,Fiber Optic,30,No,Yes,No,No,Yes,No,No,No
2135-RXIHG,Yes,14.12,No,Yes,Cable,24,No,No,No,No,No,No,No,Yes
2137-DQMEV,No,1,,Yes,DSL,19,Yes,Yes,No,No,Yes,No,No,Yes
2138-VFAPZ,Yes,15.33,No,No,,0,,,,,,,,
2139-FQHLM,Yes,9.55,No,Yes,Fiber Optic,6,No,No,Yes,Yes,Yes,No,No,Yes
2141-RRYGO,Yes,10.64,No,Yes,DSL,23,No,Yes,No,No,Yes,Yes,Yes,Yes
2143-LJULT,Yes,35.34,Yes,No,,0,,,,,,,,
2144-BFDSO,Yes,9.18,Yes,Yes,Fiber Optic,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2144-ESWKO,No,1,,Yes,Cable,4,Yes,No,Yes,No,No,No,No,Yes
2146-EGVDT,Yes,25.57,No,No,,0,,,,,,,,
2150-OEGBV,Yes,33.4,No,No,,0,,,,,,,,
2150-UWTFY,Yes,42.98,No,Yes,DSL,30,Yes,Yes,Yes,No,No,No,No,No
2150-WLKUW,Yes,42.1,Yes,Yes,DSL,52,No,Yes,No,No,Yes,No,No,Yes
2153-MREFK,Yes,30.16,Yes,Yes,Fiber Optic,4,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2154-KVJFF,Yes,42.83,Yes,Yes,Fiber Optic,21,No,Yes,No,No,No,No,No,Yes
2155-AMQRX,Yes,3.25,Yes,Yes,Cable,11,No,No,No,Yes,No,No,No,Yes
2157-MXBJS,Yes,41.22,Yes,Yes,Cable,82,No,No,Yes,No,Yes,Yes,Yes,Yes
2159-TURXX,Yes,22.16,No,No,,0,,,,,,,,
2160-GPFXD,Yes,24.59,Yes,Yes,DSL,52,Yes,Yes,No,Yes,No,No,No,Yes
2162-FRZAA,No,1,,Yes,DSL,16,No,Yes,Yes,Yes,No,No,No,Yes
2164-SOQXL,Yes,14.79,No,No,,0,,,,,,,,
2165-VOEGB,Yes,43.04,No,Yes,Fiber Optic,71,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
2167-FQSTQ,Yes,37.45,Yes,Yes,DSL,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2169-RRLFW,Yes,11.18,Yes,No,,0,,,,,,,,
2171-UDMFD,Yes,35.05,No,No,,0,,,,,,,,
2172-EJXVF,Yes,25.61,Yes,Yes,Fiber Optic,23,No,Yes,Yes,No,Yes,Yes,Yes,No
2176-LVPNX,Yes,37.39,Yes,Yes,DSL,22,Yes,Yes,Yes,Yes,Yes,Yes,No,No
2176-OSJUV,Yes,40.63,Yes,Yes,DSL,69,Yes,Yes,No,Yes,No,No,Yes,Yes
2178-PMGCJ,Yes,15.77,No,Yes,Fiber Optic,42,No,No,No,No,No,No,No,Yes
2180-DXNEG,Yes,25.54,No,Yes,Fiber Optic,27,No,No,Yes,No,Yes,Yes,Yes,Yes
2181-TIDSV,Yes,19.75,No,No,,0,,,,,,,,
2181-UAESM,Yes,12.59,No,Yes,Cable,76,Yes,No,Yes,No,No,No,No,Yes
2186-QZEYA,Yes,8.88,Yes,Yes,DSL,22,Yes,Yes,No,No,No,No,No,Yes
2187-LZGPL,No,1,,Yes,DSL,19,No,Yes,No,No,No,Yes,Yes,Yes
2187-PKZAY,Yes,40.06,No,Yes,Fiber Optic,41,No,No,No,No,No,Yes,Yes,Yes
2188-SXWVT,Yes,43.17,No,Yes,DSL,8,Yes,Yes,No,No,No,No,No,Yes
2189-UXTKY,Yes,13.11,Yes,Yes,DSL,51,Yes,No,No,Yes,Yes,Yes,Yes,Yes
2189-WWOEW,Yes,24.63,No,Yes,Fiber Optic,13,No,Yes,No,No,No,Yes,Yes,Yes
2190-BCXEC,Yes,39.97,Yes,Yes,Fiber Optic,17,No,No,No,Yes,No,No,No,Yes
2190-PHBHR,Yes,22.74,Yes,Yes,Fiber Optic,48,Yes,Yes,No,No,No,Yes,Yes,Yes
2192-CKRLV,No,1,,Yes,DSL,15,Yes,Yes,Yes,No,No,Yes,Yes,Yes
2192-OZITF,Yes,44.29,Yes,Yes,DSL,15,Yes,No,No,Yes,No,Yes,Yes,Yes
2193-SFWQW,Yes,24.08,No,Yes,Fiber Optic,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2194-IIQOF,Yes,19.9,Yes,Yes,DSL,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2195-VVRJF,Yes,5.73,No,Yes,DSL,13,Yes,No,No,No,No,Yes,No,Yes
2195-ZRVAX,Yes,44.26,No,Yes,Cable,23,No,No,Yes,No,No,Yes,Yes,Yes
2197-OMWGI,No,1,,Yes,DSL,23,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2200-DSAAL,Yes,20.3,Yes,Yes,DSL,13,No,Yes,Yes,No,Yes,Yes,Yes,No
2202-CUYXZ,Yes,36.07,No,Yes,Fiber Optic,41,No,No,Yes,No,Yes,No,Yes,Yes
2202-OUTMO,Yes,12.3,Yes,Yes,DSL,26,Yes,No,No,Yes,No,No,No,Yes
2203-GHNWN,Yes,44.93,Yes,Yes,Fiber Optic,82,No,No,Yes,No,No,No,Yes,Yes
2205-LPVGL,Yes,18.43,Yes,Yes,Fiber Optic,10,Yes,Yes,No,Yes,No,No,No,No
2205-YMZZJ,Yes,39.51,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,No,No,No
2207-NHRJK,Yes,1.28,No,Yes,DSL,27,No,Yes,No,No,No,No,No,Yes
2207-OBZNX,Yes,34.49,No,Yes,Cable,22,Yes,No,No,No,No,No,No,Yes
2207-QPJED,Yes,15.6,No,Yes,Fiber Optic,19,No,No,Yes,Yes,Yes,No,No,Yes
2207-RYYRL,Yes,29.55,Yes,No,,0,,,,,,,,
2208-MPXIO,Yes,21.73,No,No,,0,,,,,,,,
2208-NKVVH,Yes,2.81,Yes,No,,0,,,,,,,,
2208-NQBCT,Yes,42.95,No,Yes,Fiber Optic,27,Yes,Yes,No,No,No,No,No,Yes
2208-UGTGR,Yes,10.99,Yes,Yes,Fiber Optic,28,No,Yes,No,No,Yes,Yes,Yes,Yes
2209-XADXF,No,1,,Yes,DSL,15,No,No,No,No,No,No,No,No
2211-RMNHO,Yes,25.16,Yes,Yes,Cable,26,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2212-LYASK,No,1,,Yes,DSL,27,No,Yes,Yes,No,No,Yes,Yes,No
2215-ZAFGX,Yes,11.5,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,No,No,Yes
2219-MVUSO,Yes,35.53,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes
2220-IAHLS,Yes,2.85,No,No,,0,,,,,,,,
2223-GDSHL,Yes,26.38,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2223-KAGMX,Yes,33.14,No,No,,0,,,,,,,,
2225-ZRGSG,Yes,5.48,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,No,No,No,Yes
2226-ICFDO,Yes,10.87,Yes,Yes,DSL,24,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2227-JRSJX,Yes,6.12,No,Yes,Fiber Optic,51,No,Yes,No,Yes,Yes,Yes,Yes,Yes
2228-BZDEE,Yes,26.25,No,No,,0,,,,,,,,
2229-DPMBI,Yes,13.21,No,No,,0,,,,,,,,
2229-VWQJH,Yes,4.82,No,Yes,DSL,16,No,No,Yes,No,No,No,No,Yes
2230-XTUWL,Yes,13.26,No,No,,0,,,,,,,,
2232-DMLXU,Yes,35.6,No,Yes,DSL,58,No,No,No,No,Yes,No,Yes,Yes
2233-FAGXV,Yes,6.7,Yes,No,,0,,,,,,,,
2233-TXSIU,No,1,,Yes,DSL,52,Yes,No,Yes,No,Yes,No,No,Yes
2234-EOFPT,Yes,29.8,No,Yes,DSL,14,Yes,Yes,No,Yes,Yes,Yes,Yes,No
2234-XADUH,Yes,29.66,Yes,Yes,Fiber Optic,59,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2235-DWLJU,No,1,,Yes,DSL,24,No,No,No,No,Yes,Yes,Yes,Yes
2235-EZAIK,Yes,22.41,Yes,Yes,DSL,59,Yes,Yes,Yes,Yes,Yes,No,No,No
2235-ZGKPT,Yes,12.88,Yes,Yes,Cable,22,No,No,No,No,No,No,No,Yes
2236-HILPA,Yes,11.15,No,No,,0,,,,,,,,
2237-ZFSMY,Yes,4.48,No,Yes,Fiber Optic,71,Yes,No,Yes,Yes,Yes,No,Yes,Yes
2239-CFOUJ,Yes,27.5,No,No,,0,,,,,,,,
2239-CGBUZ,Yes,47.18,No,Yes,Cable,12,Yes,Yes,No,Yes,No,No,No,Yes
2239-JALAW,Yes,44.5,Yes,Yes,Fiber Optic,47,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2240-HSJQD,Yes,1.27,Yes,Yes,Fiber Optic,13,No,Yes,No,No,No,No,No,Yes
2242-MFOTG,Yes,25.71,Yes,Yes,Fiber Optic,48,Yes,No,No,No,No,No,No,Yes
2243-FNMMI,Yes,31.02,No,No,,0,,,,,,,,
2245-ADZFJ,Yes,28.52,Yes,Yes,DSL,2,No,Yes,No,Yes,Yes,Yes,Yes,Yes
2249-YPRNG,Yes,28.79,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2250-IVBWA,Yes,49.49,No,Yes,Fiber Optic,12,Yes,Yes,No,No,No,No,No,Yes
2251-PYLPB,Yes,45.05,Yes,Yes,Cable,9,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2252-ISRNH,Yes,30.46,Yes,Yes,Fiber Optic,82,No,No,Yes,No,Yes,No,No,Yes
2252-JHJGE,Yes,45.69,Yes,Yes,Fiber Optic,48,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2252-NKNSI,Yes,32.02,Yes,Yes,DSL,28,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
2253-KPMNB,No,1,,Yes,DSL,69,Yes,Yes,Yes,Yes,No,No,No,Yes
2254-DLXRI,Yes,18,Yes,Yes,Fiber Optic,23,No,Yes,No,No,No,No,No,No
2256-YLYLP,Yes,34.13,No,Yes,DSL,25,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2257-BOVXD,Yes,22.14,Yes,Yes,DSL,11,No,No,No,Yes,Yes,No,No,Yes
2259-OUUSZ,No,1,,Yes,DSL,48,No,No,Yes,Yes,No,No,No,Yes
2260-USTRB,Yes,9.55,No,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes
2262-SLNVK,Yes,1.15,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes
2263-SFSQZ,Yes,16.85,Yes,No,,0,,,,,,,,
2265-CYWIV,Yes,18.91,Yes,Yes,Fiber Optic,20,Yes,No,No,No,Yes,Yes,No,Yes
2266-FUBDZ,Yes,46.47,No,No,,0,,,,,,,,
2266-SJNAT,Yes,11.85,Yes,Yes,Fiber Optic,82,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2267-FPIMA,Yes,17.58,Yes,Yes,Fiber Optic,47,Yes,Yes,No,No,No,Yes,Yes,Yes
2267-WTPYD,Yes,23.05,Yes,Yes,Fiber Optic,30,No,Yes,Yes,No,No,Yes,No,Yes
2270-CHBFN,Yes,32.72,Yes,Yes,Fiber Optic,6,Yes,Yes,Yes,Yes,No,No,No,Yes
2272-JKMSI,Yes,13.25,Yes,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2272-QAGFO,Yes,35.07,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes
2272-UOINI,Yes,3.34,No,Yes,Cable,13,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
2272-WUSPA,Yes,39.74,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2273-QCKXA,Yes,25.77,No,Yes,Cable,5,No,No,No,Yes,No,No,No,Yes
2274-XUATA,No,1,,Yes,Cable,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2275-RBYQS,Yes,49.33,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes
2276-YDAVZ,Yes,26.52,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes
2277-AXSDC,Yes,43.8,No,No,,0,,,,,,,,
2277-BKJKN,Yes,22,No,Yes,Fiber Optic,27,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2277-DJJDL,Yes,10.4,Yes,Yes,Fiber Optic,5,No,No,No,Yes,Yes,Yes,No,No
2277-VWCNI,Yes,31.13,Yes,Yes,DSL,15,No,No,No,No,No,No,No,Yes
2279-AXJJK,Yes,8.94,Yes,Yes,Fiber Optic,85,No,Yes,No,Yes,No,Yes,Yes,Yes
2282-YGNOR,Yes,14.46,No,Yes,DSL,25,Yes,No,Yes,Yes,No,No,No,Yes
2284-VFLKH,Yes,33.93,No,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2292-XQWSV,No,1,,Yes,DSL,26,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2293-IJWPS,Yes,3.72,Yes,Yes,Fiber Optic,11,No,No,Yes,No,Yes,Yes,Yes,Yes
2294-DMMUS,Yes,36.54,Yes,Yes,DSL,41,No,No,No,No,Yes,Yes,Yes,Yes
2294-SALNE,Yes,16.63,No,Yes,Fiber Optic,22,No,Yes,Yes,Yes,No,No,No,No
2296-DKZFP,Yes,1.29,No,Yes,DSL,51,Yes,Yes,Yes,No,No,Yes,Yes,Yes
2300-RQGOI,Yes,41.63,No,No,,0,,,,,,,,
2302-ANTDP,Yes,43.04,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
2302-OUZXB,Yes,22.01,Yes,Yes,DSL,5,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2303-PJYHN,Yes,36.05,No,No,,0,,,,,,,,
2305-MRGLV,Yes,21.91,No,Yes,Fiber Optic,5,No,No,No,Yes,No,No,No,Yes
2307-FYNNL,Yes,4.4,Yes,Yes,Fiber Optic,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2308-STERM,Yes,6.65,No,No,,0,,,,,,,,
2309-OSFEU,No,1,,Yes,DSL,30,No,No,No,No,No,Yes,Yes,Yes
2311-QYMUQ,Yes,31.73,No,Yes,Fiber Optic,25,No,Yes,Yes,No,Yes,No,No,Yes
2314-TNDJQ,No,1,,Yes,Cable,59,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2316-ESMLS,No,1,,Yes,DSL,27,Yes,No,No,Yes,No,No,No,Yes
2320-JRSDE,Yes,7.49,No,No,,0,,,,,,,,
2320-SLKMB,No,1,,Yes,Cable,29,No,No,Yes,Yes,Yes,No,No,Yes
2320-TZRRH,Yes,38.74,No,No,,0,,,,,,,,
2320-YKQBO,Yes,7.32,No,No,,0,,,,,,,,
2321-OMBXY,Yes,42.14,No,Yes,DSL,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
2322-VCZHZ,Yes,31.53,No,Yes,Fiber Optic,20,Yes,Yes,No,No,No,Yes,No,Yes
2323-ARSVR,Yes,46.89,No,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2324-AALNO,Yes,23.76,Yes,No,,0,,,,,,,,
2324-EFHVG,Yes,45.82,Yes,Yes,Fiber Optic,14,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2325-NBPZG,Yes,10.1,No,Yes,Fiber Optic,73,Yes,No,No,No,No,No,No,Yes
2325-WINES,Yes,14.21,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2325-ZUSFD,Yes,36.65,No,Yes,DSL,7,Yes,No,No,No,Yes,Yes,Yes,Yes
2330-PQGDQ,Yes,9.5,Yes,Yes,Fiber Optic,51,No,Yes,No,Yes,No,No,No,Yes
2332-EFBJY,Yes,5.74,No,No,,0,,,,,,,,
2332-TODQS,Yes,34.96,Yes,No,,0,,,,,,,,
2333-KWEWW,Yes,26.26,No,No,,0,,,,,,,,
2335-GSODA,No,1,,Yes,DSL,26,Yes,No,Yes,Yes,No,No,No,Yes
2338-BQEZT,Yes,3.62,No,Yes,DSL,17,Yes,No,No,No,No,No,No,Yes
2342-CKIAO,Yes,12.68,No,No,,0,,,,,,,,
2344-JMOGN,Yes,17.47,No,Yes,Fiber Optic,6,No,Yes,Yes,Yes,Yes,No,No,Yes
2346-CZYIL,Yes,39.77,No,No,,0,,,,,,,,
2346-DJQTB,No,1,,Yes,DSL,21,No,No,No,No,No,No,No,No
2346-LOCWC,Yes,25.86,No,No,,0,,,,,,,,
2347-WKKAE,Yes,41.16,Yes,Yes,Fiber Optic,11,Yes,No,Yes,No,No,Yes,Yes,Yes
2348-KCJLT,Yes,44.87,No,Yes,Cable,20,Yes,Yes,Yes,No,No,No,No,No
2351-BKRZW,Yes,29.98,No,Yes,Cable,59,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2351-RRBUE,Yes,41.64,No,No,,0,,,,,,,,
2357-COQEK,Yes,28.14,Yes,Yes,Fiber Optic,10,No,No,Yes,Yes,Yes,Yes,No,Yes
2359-KLTEK,Yes,43.19,No,Yes,Fiber Optic,59,No,No,Yes,No,Yes,Yes,Yes,Yes
2359-KMGLI,Yes,49.3,Yes,Yes,Fiber Optic,20,No,Yes,No,No,No,No,No,Yes
2359-QWQUL,Yes,9.51,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2360-RDGRO,Yes,41.2,Yes,Yes,Fiber Optic,10,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2361-FJWNO,No,1,,Yes,Cable,12,No,Yes,No,Yes,No,No,No,No
2361-UPSND,Yes,44.75,No,Yes,DSL,27,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2362-IBOOY,Yes,43.97,Yes,Yes,Fiber Optic,42,No,No,No,No,No,Yes,Yes,Yes
2363-BJLSL,Yes,48.72,No,Yes,DSL,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2364-UFROM,Yes,32.41,No,Yes,Cable,22,Yes,Yes,No,Yes,Yes,No,No,Yes
